tax	tax_name	parent_name	parent_class_order	count(*)
1333523	Salinarchaeum sp. Harcht-Bsk1	Archaea	domain	41
985053	Vulcanisaeta moutnovskia 768-28	Archaea	domain	45
429572	Saccharolobus islandicus L.S.2.15	Archaea	domain	38
2512240	Sulfolobus sp. S-194	Archaea	domain	44
1961369	Thermofilum sp.	Archaea	domain	43
933801	Acidianus hospitalis W1	Archaea	domain	40
795797	Halalkalicoccus jeotgali B3	Archaea	domain	41
3121606	Candidatus Aenigmatarchaeota archaeon	Archaea	domain	433
2026808	Candidatus Nitrosopelagicus sp.	Archaea	domain	42
2886040	Acidianus sp. HS-5	Archaea	domain	46
1582439	Nitrosopumilus piranensis	Archaea	domain	38
362976	Haloquadratum walsbyi DSM 16790	Archaea	domain	38
2508726	Candidatus Nitrosopumilus sp. SW	Archaea	domain	43
2876573	Candidatus Heimdallarchaeum aukensis	Archaea	domain	45
1132504	Saccharolobus islandicus M.16.43	Archaea	domain	83
1915761	Euryarchaeota archaeon UBA186	Archaea	domain	37
2286	Saccharolobus shibatae	Archaea	domain	50
2283	Acidianus ambivalens	Archaea	domain	47
340102	Pyrobaculum arsenaticum DSM 13514	Archaea	domain	39
268739	Natronomonas moolapensis 8.8.11	Archaea	domain	39
1041930	Methanocella conradii HZ254	Archaea	domain	42
1505907	Thermococcus eurythermalis	Archaea	domain	46
2798940	Candidatus Baldrarchaeum yapensis	Archaea	domain	40
2268142	Ignisphaera sp.	Archaea	domain	105
351160	Methanocella arvoryzae MRE50	Archaea	domain	44
797299	Halostagnicola larsenii XH-48	Archaea	domain	39
469382	Halogeometricum borinquense DSM 11551	Archaea	domain	40
490899	Desulfurococcus amylolyticus 1221n	Archaea	domain	31
694429	Pyrolobus fumarii 1A	Archaea	domain	45
1184251	Thermogladius calderae 1633	Archaea	domain	31
1434100	Methanosarcina sp. MTP4	Archaea	domain	43
1592728	Haloarcula sp. CBA1115	Archaea	domain	40
1915775	Euryarchaeota archaeon UBA488	Archaea	domain	37
2004705	Pyrobaculum sp.	Archaea	domain	114
2026714	Candidatus Bathyarchaeota archaeon	Archaea	domain	1223
2886391	Candidatus Bilamarchaeaceae archaeon	Archaea	domain	53
1094980	Methanolobus psychrophilus R15	Archaea	domain	42
410358	Methanocorpusculum labreanum Z	Archaea	domain	41
1365176	Thermofilum adornatum	Archaea	domain	82
573063	Methanocaldococcus infernus ME	Archaea	domain	31
1457250	Halapricum salinum	Archaea	domain	41
54256	Pyrodictium abyssi	Archaea	domain	43
478009	Halobacterium salinarum R1	Archaea	domain	41
1132506	Saccharolobus islandicus M.16.47	Archaea	domain	83
2799008	Candidatus Hermodarchaeota archaeon	Archaea	domain	76
1104576	Candidatus Iainarchaeum andersonii SCGC AAA011-E11	Archaea	domain	36
1132497	Saccharolobus islandicus M.16.2	Archaea	domain	84
529709	Pyrococcus yayanosii CH1	Archaea	domain	46
2026795	Nitrososphaerota archaeon	Archaea	domain	297
2928967	Candidatus Culexmicrobium thermophilum	Archaea	domain	36
1872399	Aeropyrum sp.	Archaea	domain	89
1915871	Euryarchaeota archaeon UBA28	Archaea	domain	33
1853690	Halolamina sp. CBA1230	Archaea	domain	42
444157	Pyrobaculum neutrophilum V24Sta	Archaea	domain	42
521011	Methanosphaerula palustris E1-9c	Archaea	domain	43
765177	Desulfurococcus mucosus DSM 2162	Archaea	domain	31
1867261	Candidatus Methanosuratincola petrocarbonis (ex Vanwonterghem et al. 2016)	Archaea	domain	50
